Copper Resistance (Ohms),Graphene Resistance (Ohms),Final Resistance (Ohms)
382470.0,2148280.9323931765,249311.30529760334
370520.0,2147531.900577785,244148.84393441476
359290.0,2146784.5540319686,239194.06233877764
348720.0,2146038.8877036395,234436.1072872759
338760.0,2145294.8965596273,229866.4820338009
329350.0,2144552.5755855967,225470.15579755808
320450.0,2143811.9197859582,221239.5190466476
312020.0,2143072.92418379,217165.55610572704
304020.0,2142335.583820749,213237.8882562604
296420.0,2141599.8937569913,209449.81383502565
289190.0,2140865.8490710864,205793.65023988526
282300.0,2140133.4448599378,202260.76561800585
275740.0,2139402.6762386984,198852.01399930008
269470.0,2138673.5383406924,195552.09442795347
263480.0,2137946.02631733,192360.57471647297
257750.0,2137220.135338032,189271.3081625206
252270.0,2136495.860590141,186283.0397893507
247010.0,2135773.1972788544,183383.18657281186
241970.0,2135052.1406271337,180575.11462011267
237130.0,2134332.685875629,177850.8890953148
232480.0,2133614.8282826054,175207.760133717
228010.0,2132898.5631238553,172642.71722906578
223710.0,2132183.885692629,170152.49683695176
219570.0,2131470.7912995555,167733.59027665883
215580.0,2130759.2752725617,165382.25181649489
211730.0,2130049.332956799,163094.50682690289
208010.0,2129340.9597145687,160866.15988575097
204420.0,2128634.1509252423,158698.8297798816
200960.0,2127928.9019851894,156594.11093616794
197610.0,2127225.2083077007,154541.3387676109
194370.0,2126523.0653229146,152541.7937566971
191240.0,2125822.468477742,150596.73763937133
188200.0,2125123.4132357924,148694.9269218095
185260.0,2124425.8950773035,146843.62199370124
182410.0,2123729.909499063,145037.58420858468
179650.0,2123035.4520143415,143277.76234305341
176960.0,2122342.5181528144,141552.29327459328
174360.0,2121651.1034604926,139874.74413385012
171840.0,2120961.2034996552,138239.5492619443
169380.0,2120272.81384877,136634.47663832913
166990.0,2119585.9301024303,135066.6285737202
164680.0,2118900.5478712767,133543.23829056058
162420.0,2118216.662781936,132045.2243090524
160220.0,2117534.270476943,130579.66629783105
158090.0,2116853.366614676,129153.7689945429
156010.0,2116173.946869288,127754.73772147161
153980.0,2115496.006930633,126382.99235025224
152010.0,2114819.5425042054,125045.71478847577
150080.0,2114144.5493110646,123729.81035385137
148210.0,2113471.023087771,122449.24555549544
146380.0,2112798.9595863186,121190.79515694204
144590.0,2112128.3545740666,119954.76498077122
142850.0,2111459.203833676,118748.36784543844
141150.0,2110791.5031630364,117565.04670119246
139490.0,2110125.2483752086,116405.09531329374
137870.0,2109460.435298355,115268.80349663847
136280.0,2108797.05977567,114149.44111596269
134730.0,2108135.117665323,113054.25496322471
133220.0,2107474.6048403885,111983.52346730519
131740.0,2106815.5171887847,110930.43017482814
130290.0,2106157.850613204,109895.17249036937
128880.0,2105501.601031057,108885.08350754062
127490.0,2104846.764374407,107886.10354483176
126130.0,2104193.3365898975,106905.53732171691
124810.0,2103541.313638707,105950.77913542233
123510.0,2102890.69149647,105007.6237332632
122230.0,2102241.466153225,104076.18758582488
120990.0,2101593.633613348,103171.12947012279
119760.0,2100947.1898954925,102270.81323841977
118570.0,2100302.131032531,101397.22867404218
117390.0,2099658.453071488,100528.60977989285
116240.0,2099016.1520734834,99679.71315467864
115110.0,2098375.2241136744,98843.33415677516
114010.0,2097735.66528119,98026.97308273838
112920.0,2097097.471679076,97215.9698402913
111860.0,2096460.6394242316,96425.23374178202
110810.0,2095825.1646473547,95640.02575828986
109780.0,2095191.0434928804,94867.86047634446
108780.0,2094558.2721189223,94116.32511169963
107790.0,2093926.846697216,93370.56601628209
1059300.0,2093296.7634130588,420669.0360857797
971020.0,2092668.0184652563,405939.4541202313
896320.0,2092040.6080660592,392206.1492019499
832300.0,2091414.5284411104,379373.3627526484
776810.0,2090789.7758293876,367352.5606307026
728260.0,2090166.3464831463,356071.02876087924
685420.0,2089544.236667863,345461.4180837471
647350.0,2088923.442662181,335468.4941100195
613270.0,2088303.9607578528,326032.84497552697
582610.0,2087685.787259686,317116.832253835
554870.0,2087068.9184854857,308675.6505451525
529650.0,2086453.3507660057,300671.7662710131
506620.0,2085839.0804448863,293071.5435090065
485510.0,2085226.103878606,285846.3699929582
466090.0,2084614.4174364232,278969.330408645
448160.0,2084004.0175003249,272414.05697550613
431560.0,2083394.9004649743,266160.4404096862
416150.0,2082787.0627376544,260189.17892501072
401800.0,2082180.5007382147,254478.97777978503
388410.0,2081575.2108990245,249015.4398395274
375880.0,2080971.1896649124,243780.0669930765
364130.0,2080368.4334931187,238758.97694922707
353100.0,2079766.9388532457,233943.94589666103
342710.0,2079166.7022271976,229315.47541293755
332920.0,2078567.7201091389,224869.37639329245
323670.0,2077969.9890054364,220590.67254186244
314920.0,2077373.505434611,216471.72871583208
306640.0,2076778.2659272864,212508.31113184732
298770.0,2076184.2670261397,208680.49447240363
291310.0,2075591.5052858484,204996.1528747093
284200.0,2074999.977273044,201432.9136900383
277430.0,2074409.67956626,197992.0668955881
270980.0,2073820.608755882,194669.38368778027
264820.0,2073232.7614441009,191454.78458060016
258940.0,2072646.1342448615,188347.90964925548
253310.0,2072060.723783816,185337.3662327523
247920.0,2071476.526698272,182421.78077354754
242750.0,2070893.5396371477,179594.0078200076
237800.0,2070311.7592609215,176857.44032742764
233040.0,2069731.1822415867,174198.6560357852
228470.0,2069151.8052626008,171620.44142381434
224080.0,2068573.625018841,169119.84589650287
219850.0,2067996.638216555,166687.91453156905
215780.0,2067420.841573313,164326.8395370518
211860.0,2066846.2318179673,162032.93082245727
208080.0,2066272.8056905968,159802.26687593872
204420.0,2065700.559942468,157624.7574441737
200900.0,2065129.4913359843,155513.87978758535
197500.0,2064559.5966446449,153459.30548649636
194200.0,2063990.8726529933,151450.31731610812
191020.0,2063423.3161565776,149500.3285007782
187940.0,2062856.9239619025,147598.4072318378
184960.0,2062291.6928863823,145745.68132195697
182070.0,2061727.6197583028,143937.01171586433
179260.0,2061164.7014167688,142167.0819600556
176550.0,2060602.9347116672,140449.39135020843
173910.0,2060042.3165036156,138765.90006523996
171360.0,2059482.8436639248,137130.11942145377
168870.0,2058924.513074552,135523.6426370367
166460.0,2058367.3216280576,133959.99732300057
164120.0,2057811.2662275624,132433.45240606702
161840.0,2057256.3437867044,130938.1249719416
159620.0,2056702.5512295968,129474.5661344725
157460.0,2056149.8854907823,128043.3198860678
155360.0,2055598.343515196,126644.92260473597
153320.0,2055047.9222581168,125279.90256098987
151330.0,2054498.6186851317,123942.07159233134
149390.0,2053950.4297720888,122631.84899201736
147500.0,2053403.3525050597,121349.64849119986
145650.0,2052857.383880294,120089.07994167159
143850.0,2052312.5209041827,118857.28523517397
142100.0,2051768.7605932124,117654.66137045418
140390.0,2051226.099973928,116474.7154302567
138720.0,2050684.5360828915,115317.74892354215
137080.0,2050144.0659666376,114177.12190817276
135490.0,2049604.6866816415,113066.97654772557
133930.0,2049066.3952942716,111973.70145744958
132410.0,2048529.1888807495,110904.52041757634
130920.0,2047993.0645271176,109852.67453093933
129470.0,2047458.019329192,108825.43210840768
128050.0,2046924.0503925243,107815.97730864774
126650.0,2046391.1548323676,106817.39426598704
125290.0,2045859.3297736328,105844.08103580182
123960.0,2045328.5723508503,104889.14060983688
122650.0,2044798.879708132,103945.5803732632
121380.0,2044270.2489991344,103027.93011557398
120130.0,2043742.6773870168,102121.98775208421
118900.0,2043216.1620444087,101227.87016865166
117700.0,2042690.700153364,100352.96296653143
116520.0,2042166.2889053328,99490.15365473028
115370.0,2041642.9255011156,98646.8665997468
114240.0,2041120.60715083,97815.94350790302
113130.0,2040599.3310738732,96997.49461491252
112040.0,2040079.0944988856,96191.62900819897
110970.0,2039559.8946637115,95398.45458941575
109930.0,2039041.7288153633,94625.48754392516
108900.0,2038524.594209988,93858.03312417214
107890.0,2038008.4881128252,93103.585813747
106900.0,2037493.4077981785,92362.24839462615
105930.0,2036979.3505493707,91634.12227756139
1041300.0,2036466.3136587157,410934.4654080048
954560.0,2035954.2944274785,396650.1200914189
881130.0,2035443.2901658409,383319.9507307637
818190.0,2034933.2981928657,370856.6326075779
763650.0,2034424.3158364608,359180.0420833805
715920.0,2033916.34043335,348214.7511904628
673810.0,2033409.3693290288,337900.3315177721
636370.0,2032903.3998777347,328177.1534871796
602880.0,2032398.4294424152,319000.2879820479
572740.0,2031894.455394688,310323.1232605867
545460.0,2031391.475114812,302102.4623627731
520670.0,2030889.485991646,294309.1597173974
498030.0,2030388.4854226247,286906.10017265467
477280.0,2029888.4708137172,279867.4643370391
458190.0,2029389.4395793967,273165.9891446234
440570.0,2028891.3891426052,266778.579574126
424250.0,2028394.3169347225,260681.2081934716
409100.0,2027898.2203955296,254857.95512108854
394990.0,2027403.0969731824,249287.34150711962
381820.0,2026908.9441241708,243954.71859568133
369510.0,2026415.7593132905,238849.7105569936
357960.0,2025923.540013612,233950.17813938236
347110.0,2025432.2837064415,229247.56957283636
336900.0,2024941.9878812989,224731.03166995908
327280.0,2024452.6500358745,220392.00451620526
318190.0,2023964.2676760044,216215.47125402442
309590.0,2023476.83831564,212193.70489072983
301440.0,2022990.3594768073,208317.58135467366
293710.0,2022504.8286895864,204581.4740080469
286370.0,2022020.2434920731,200978.74382346304
279380.0,2021536.6014303495,197496.7712870475
272730.0,2021053.9000584532,194136.90741806087
266390.0,2020572.136938346,190889.8705693155
260330.0,2020091.309639884,187745.48558398013
254550.0,2019611.415740786,184708.51604860395
249020.0,2019132.4528266029,181767.6723429332
243720.0,2018654.418490688,178916.2394255649
238640.0,2018177.3103341656,176152.41107833182
233770.0,2017701.1259659044,173474.09420749982
229090.0,2017225.8630024816,170873.3517684861
224600.0,2016751.51906816,168352.98933045028
220280.0,2016278.0917948508,165904.4251435304
216130.0,2015805.5788220891,163530.05883428498
212120.0,2015333.9777970065,161214.9241012556
208270.0,2014863.2863742944,158972.5436171542
204550.0,2014393.5022161808,156787.4316124716
200960.0,2013924.6229924,154661.25696986288
197500.0,2013456.6463801623,152595.66509383553
194150.0,2012989.5700641272,150580.24449334183
190910.0,2012523.391736372,148616.31820869114
187780.0,2012058.1090963648,146705.1910893432
184750.0,2011593.719850941,144842.00143103467
181820.0,2011130.221714264,143027.886833933
178980.0,2010667.6124078075,141257.7382466792
176230.0,2010205.889660322,139532.53671312795
173560.0,2009745.0512078088,137846.94034748612
170970.0,2009285.0947934897,136201.78445592054
168450.0,2008826.018167785,134591.50843661456
166010.0,2008367.81908828,133023.23322644978
163640.0,2007910.4953197003,131491.30125854252
161330.0,2007454.0446338856,129989.89951964823
159090.0,2006998.46480976,128526.11957582271
156910.0,2006543.7536333057,127094.06052553958
154790.0,2006089.9088975375,125694.27088449417
152730.0,2005636.928402476,124327.29123288135
150720.0,2005184.8099551173,122986.99528535244
148760.0,2004733.5513694128,121673.81242551359
146860.0,2004283.150466236,120394.88730538516
145000.0,2003833.6050733612,119137.22696423864
143180.0,2003384.913025436,117901.1527693551
141420.0,2002937.0721639516,116700.60251551456
139690.0,2002490.080337223,115515.54784606138
138010.0,2002043.93540036,114359.94547858012
136370.0,2001598.63521524,113227.29005777641
134760.0,2001154.177650484,112110.96087592209
133190.0,2000710.560581433,111018.12177293618
131660.0,2000267.7818901169,109949.06587736665
130170.0,1999825.8394652384,108904.08168813123
128700.0,1999384.7312021367,107869.40345497044
127270.0,1998944.4550027724,106859.26062371123
125880.0,1998505.008775696,105873.93007395053
124510.0,1998066.3904360249,104899.48765162806
123170.0,1997628.5979054212,103943.18043807316
121860.0,1997191.629112064,103005.20326420972
120580.0,1996755.4819906256,102085.74824795303
119320.0,1996320.154482248,101177.81453465417
118090.0,1995885.644534516,100288.73462538852
116880.0,1995451.9501014363,99411.45909382279
115700.0,1995019.0691434145,98553.36107412865
114550.0,1994586.9996272237,97714.62039293886
113410.0,1994155.73952599,96880.81904816853
112300.0,1993725.2868191611,96066.64399293647
111210.0,1993295.6394924896,95264.9299598193
110140.0,1992866.7955380008,94475.78718310039
109090.0,1992438.7529539785,93699.3246600306
108060.0,1992011.5097449347,92935.6501124306
107050.0,1991585.06392159,92184.86994843885
106060.0,1991159.4135008496,91447.08922442785
105090.0,1990734.5565057788,90722.41160711169
104130.0,1990310.490965582,90003.46863926726
1024000.0,1989887.21491558,402546.40642117447
938650.0,1989464.726397184,388605.59842517297
866450.0,1989043.0234578769,375601.2876107754
804560.0,1988622.1041511889,363438.43794981245
750920.0,1988201.9665366756,352038.20088274515
703990.0,1987782.6086798948,341332.5661948061
662580.0,1987364.028652384,331258.6660910371
625770.0,1986946.2245316403,321762.13653530827
592830.0,1986529.194401096,312793.6516414321
563190.0,1986112.9363500976,304313.2294032208
536370.0,1985697.448473884,296279.71892906097
511990.0,1985282.7288735656,288660.02602463966
489730.0,1984868.7756561004,281422.4796500229
469330.0,1984455.586934274,274540.74553264375
450550.0,1984043.1608266768,267983.4754012337
433220.0,1983631.4954576849,261733.94523485238
417180.0,1983220.588957436,255771.62282910134
402280.0,1982810.4394618105,250072.85240989717
388410.0,1982401.0451124087,244623.45773585193
375460.0,1981992.4040565311,239404.66948423316
363350.0,1981584.5144471568,234405.730869958
351990.0,1981177.3744429208,229608.42463499942
341330.0,1980770.9822080964,225008.43273738504
331290.0,1980365.335912574,220586.18704870422
321820.0,1979960.4337318377,216332.73792979747
312880.0,1979556.273846947,212241.91549828462
304430.0,1979152.8544445168,208306.10449320523
296420.0,1978750.1737166964,204511.52226318498
288820.0,1978348.2298611489,200852.39129682412
281600.0,1977947.0210810287,197321.92682400107
274730.0,1977546.545584968,193912.36600196676
268190.0,1977146.8015870512,190620.05176627164
261950.0,1976747.787306796,187435.56708261085
256000.0,1976349.500969133,184358.97908390666
250310.0,1975951.940804392,181379.51735337952
244870.0,1975555.1050482704,178496.20219523634
239660.0,1975158.9919418271,175702.36926328536
234660.0,1974763.5997314511,172990.8104528701
229870.0,1974368.926668852,170364.78052807998
225280.0,1973974.9710110335,167821.93712932797
220860.0,1973581.7310202783,165348.45187379196
216610.0,1973189.2049641267,162946.77251252718
212520.0,1972797.391115358,160613.60141214007
208590.0,1972406.287751973,158351.15942735423
204800.0,1972015.8931571732,156150.00510439815
201140.0,1971626.205619342,154006.12778631362
197610.0,1971237.223432029,151921.20712069524
194200.0,1970848.9448939243,149890.9409815123
190910.0,1970461.3683088503,147916.81998904867
187730.0,1970074.491985734,145994.26374566046
184650.0,1969688.3142385904,144118.49161272898
181670.0,1969302.8333865085,142290.66526278612
178790.0,1968918.0477536311,140511.92958570705
176000.0,1968533.9556691316,138777.19364121644
173290.0,1968150.5554672035,137081.1864907872
170660.0,1967767.8454870367,135424.76148209372
168120.0,1967385.8240728036,133815.09600292039
165640.0,1967004.489573636,132234.01327098173
163240.0,1966623.8403436127,130694.92569606334
160910.0,1966243.8747417396,129192.19153289603
158650.0,1965864.5911319305,127726.49427019077
156440.0,1965485.987882992,126285.47386305823
154300.0,1965108.0633686052,124882.68830421235
152210.0,1964730.8159673049,123505.62358419757
150180.0,1964354.2440624689,122161.34147432681
148210.0,1963978.346042294,120850.37866169428
146280.0,1963603.1202997845,119559.90217225633
144410.0,1963228.5652327293,118303.66742757589
142580.0,1962854.6792436887,117068.70369807127
140800.0,1962481.4607399793,115862.10644886876
139060.0,1962108.908133648,114677.48360962757
137360.0,1961737.0198414668,113515.1508280195
135710.0,1961365.794284906,112382.27763996029
134090.0,1960995.2298901265,111265.48431814917
132520.0,1960625.3250879552,110178.81644690712
130970.0,1960256.0783138715,109101.83558345676
129470.0,1959887.4880079927,108055.57403531624
128000.0,1959519.552615055,107026.41778893932
126560.0,1959152.2705843963,106014.57594186805
125150.0,1958785.640369944,105020.25530440744
123780.0,1958419.6604301932,104050.7266416002
122430.0,1958054.329228196,103092.08340210626
121120.0,1957689.645231542,102158.68080098319
119830.0,1957325.6069123412,101236.51048297696
118570.0,1956962.2127472127,100332.85663505306
117330.0,1956599.461217262,99440.72718047319
116120.0,1956237.3508080735,98567.44871123963
114940.0,1955875.8800096875,97713.20738287533
113780.0,1955515.0473165864,96870.93765173644
112640.0,1955154.851227682,96040.75607230118
111520.0,1954795.2902462948,95222.77808824244
110430.0,1954436.362880144,94424.42938834478
109360.0,1954078.0676413288,93638.55225774008
108310.0,1953720.4030463116,92865.25768544814
107270.0,1953363.367615906,92097.2842890328
106260.0,1953006.9598752607,91349.46331751991
105270.0,1952651.1783538407,90614.55029813419
104290.0,1952296.0215854177,89885.22260661387
103340.0,1951941.488108052,89176.42251716816
102400.0,1951587.5764640763,88473.378334565
1007200.0,1951234.2852000843,395203.8333355504
923260.0,1950881.6128669104,381550.5337188599
852240.0,1950529.5580196225,368810.1333481579
791370.0,1950178.1192174975,356893.9940302639
738610.0,1949827.2950240185,345722.61623585783
692450.0,1949477.0840068453,335230.5372589585
651720.0,1949127.4847378156,325356.5136581208
615510.0,1948778.4957929165,316046.1536328682
583110.0,1948430.1157522816,307253.32342581445
553960.0,1948082.3432001683,298939.3218663077
527580.0,1947735.1767249468,291061.70503931714
503600.0,1947388.614919084,283589.1895087387
481700.0,1947042.6563791337,276489.0933505016
461630.0,1946697.299705716,269737.4535382966
443170.0,1946352.5435035084,263309.294956541
426120.0,1946008.3863812287,257176.90854035245
410340.0,1945664.8269516232,251326.1933691628
395680.0,1945321.8638314495,245733.08849422462
382040.0,1944979.4956414655,240386.94566855588
369310.0,1944637.7210064167,235268.8694841146
357390.0,1944296.538555016,230359.63801774615
346220.0,1943955.9469199367,225653.06426315
335730.0,1943615.944737798,221136.25678790722
325860.0,1943276.530649145,216798.08084808497
316550.0,1942937.703298444,212625.16233398567
307750.0,1942599.4613340625,208606.55533081054
299440.0,1942261.8034082605,204743.57531782752
291560.0,1941924.72817717,201017.7601717501
284080.0,1941588.2343007904,197423.15537812893
276980.0,1941252.3204429687,193957.7076782235
270220.0,1940916.9852713903,190608.7274924295
263790.0,1940582.2274575608,187377.42945725875
257650.0,1940248.0456768,184249.3251700421
251800.0,1939914.4386082203,181229.48797535527
246200.0,1939581.404934724,178301.9406434001
240850.0,1939248.9433429777,175470.8443221339
235730.0,1938917.0525234116,172729.56373986305
230820.0,1938585.7311701977,170070.91635373762
226110.0,1938254.9779812417,167492.68101717293
221580.0,1937924.791658169,164986.8153255499
