Width (nm), Thickness (nm), Resistance (Ohms)
50.000000, 10.000000, 1.1171e+06
50.000000, 10.909091, 1.0240e+06
50.000000, 11.818182, 9.4521e+05
50.000000, 12.727273, 8.7770e+05
50.000000, 13.636364, 8.1919e+05
50.000000, 14.545455, 7.6799e+05
50.000000, 15.454545, 7.2281e+05
50.000000, 16.363636, 6.8266e+05
50.000000, 17.272727, 6.4673e+05
50.000000, 18.181818, 6.1439e+05
50.000000, 19.090909, 5.8513e+05
50.000000, 20.000000, 5.5854e+05
50.000000, 20.909091, 5.3425e+05
50.000000, 21.818182, 5.1199e+05
50.000000, 22.727273, 4.9151e+05
50.000000, 23.636364, 4.7261e+05
50.000000, 24.545455, 4.5510e+05
50.000000, 25.454545, 4.3885e+05
50.000000, 26.363636, 4.2372e+05
50.000000, 27.272727, 4.0959e+05
50.000000, 28.181818, 3.9638e+05
50.000000, 29.090909, 3.8399e+05
50.000000, 30.000000, 3.7236e+05
50.000000, 30.909091, 3.6141e+05
50.000000, 31.818182, 3.5108e+05
50.000000, 32.727273, 3.4133e+05
50.000000, 33.636364, 3.3210e+05
50.000000, 34.545455, 3.2336e+05
50.000000, 35.454545, 3.1507e+05
50.000000, 36.363636, 3.0719e+05
50.000000, 37.272727, 2.9970e+05
50.000000, 38.181818, 2.9257e+05
50.000000, 39.090909, 2.8576e+05
50.000000, 40.000000, 2.7927e+05
50.000000, 40.909091, 2.7306e+05
50.000000, 41.818182, 2.6713e+05
50.000000, 42.727273, 2.6144e+05
50.000000, 43.636364, 2.5600e+05
50.000000, 44.545455, 2.5077e+05
50.000000, 45.454545, 2.4576e+05
50.000000, 46.363636, 2.4094e+05
50.000000, 47.272727, 2.3630e+05
50.000000, 48.181818, 2.3185e+05
50.000000, 49.090909, 2.2755e+05
50.000000, 50.000000, 2.2341e+05
50.000000, 50.909091, 2.1942e+05
50.000000, 51.818182, 2.1558e+05
50.000000, 52.727273, 2.1186e+05
50.000000, 53.636364, 2.0827e+05
50.000000, 54.545455, 2.0480e+05
50.000000, 55.454545, 2.0144e+05
50.000000, 56.363636, 1.9819e+05
50.000000, 57.272727, 1.9504e+05
50.000000, 58.181818, 1.9200e+05
50.000000, 59.090909, 1.8904e+05
50.000000, 60.000000, 1.8618e+05
50.000000, 60.909091, 1.8340e+05
50.000000, 61.818182, 1.8070e+05
50.000000, 62.727273, 1.7808e+05
50.000000, 63.636364, 1.7554e+05
50.000000, 64.545455, 1.7307e+05
50.000000, 65.454545, 1.7066e+05
50.000000, 66.363636, 1.6833e+05
50.000000, 67.272727, 1.6605e+05
50.000000, 68.181818, 1.6384e+05
50.000000, 69.090909, 1.6168e+05
50.000000, 70.000000, 1.5958e+05
50.000000, 70.909091, 1.5754e+05
50.000000, 71.818182, 1.5554e+05
50.000000, 72.727273, 1.5360e+05
50.000000, 73.636364, 1.5170e+05
50.000000, 74.545455, 1.4985e+05
50.000000, 75.454545, 1.4805e+05
50.000000, 76.363636, 1.4628e+05
50.000000, 77.272727, 1.4456e+05
50.000000, 78.181818, 1.4288e+05
50.000000, 79.090909, 1.4124e+05
50.000000, 80.000000, 1.3963e+05
50.000000, 80.909091, 1.3807e+05
50.000000, 81.818182, 1.3653e+05
50.000000, 82.727273, 1.3503e+05
50.000000, 83.636364, 1.3356e+05
50.000000, 84.545455, 1.3213e+05
50.000000, 85.454545, 1.3072e+05
50.000000, 86.363636, 1.2935e+05
50.000000, 87.272727, 1.2800e+05
50.000000, 88.181818, 1.2668e+05
50.000000, 89.090909, 1.2539e+05
50.000000, 90.000000, 1.2412e+05
50.000000, 90.909091, 1.2288e+05
50.000000, 91.818182, 1.2166e+05
50.000000, 92.727273, 1.2047e+05
50.000000, 93.636364, 1.1930e+05
50.000000, 94.545455, 1.1815e+05
50.000000, 95.454545, 1.1703e+05
50.000000, 96.363636, 1.1592e+05
50.000000, 97.272727, 1.1484e+05
50.000000, 98.181818, 1.1378e+05
50.000000, 99.090909, 1.1273e+05
50.000000, 100.000000, 1.1171e+05
50.909091, 10.000000, 1.0971e+06
50.909091, 10.909091, 1.0057e+06
50.909091, 11.818182, 9.2834e+05
50.909091, 12.727273, 8.6203e+05
50.909091, 13.636364, 8.0456e+05
50.909091, 14.545455, 7.5427e+05
50.909091, 15.454545, 7.0990e+05
50.909091, 16.363636, 6.7046e+05
50.909091, 17.272727, 6.3518e+05
50.909091, 18.181818, 6.0342e+05
50.909091, 19.090909, 5.7468e+05
50.909091, 20.000000, 5.4856e+05
50.909091, 20.909091, 5.2471e+05
50.909091, 21.818182, 5.0285e+05
50.909091, 22.727273, 4.8273e+05
50.909091, 23.636364, 4.6417e+05
50.909091, 24.545455, 4.4698e+05
50.909091, 25.454545, 4.3101e+05
50.909091, 26.363636, 4.1615e+05
50.909091, 27.272727, 4.0228e+05
50.909091, 28.181818, 3.8930e+05
50.909091, 29.090909, 3.7714e+05
50.909091, 30.000000, 3.6571e+05
50.909091, 30.909091, 3.5495e+05
50.909091, 31.818182, 3.4481e+05
50.909091, 32.727273, 3.3523e+05
50.909091, 33.636364, 3.2617e+05
50.909091, 34.545455, 3.1759e+05
50.909091, 35.454545, 3.0945e+05
50.909091, 36.363636, 3.0171e+05
50.909091, 37.272727, 2.9435e+05
50.909091, 38.181818, 2.8734e+05
50.909091, 39.090909, 2.8066e+05
50.909091, 40.000000, 2.7428e+05
50.909091, 40.909091, 2.6819e+05
50.909091, 41.818182, 2.6236e+05
50.909091, 42.727273, 2.5677e+05
50.909091, 43.636364, 2.5142e+05
50.909091, 44.545455, 2.4629e+05
50.909091, 45.454545, 2.4137e+05
50.909091, 46.363636, 2.3663e+05
50.909091, 47.272727, 2.3208e+05
50.909091, 48.181818, 2.2771e+05
50.909091, 49.090909, 2.2349e+05
50.909091, 50.000000, 2.1942e+05
50.909091, 50.909091, 2.1551e+05
50.909091, 51.818182, 2.1173e+05
50.909091, 52.727273, 2.0808e+05
50.909091, 53.636364, 2.0455e+05
50.909091, 54.545455, 2.0114e+05
50.909091, 55.454545, 1.9784e+05
50.909091, 56.363636, 1.9465e+05
50.909091, 57.272727, 1.9156e+05
50.909091, 58.181818, 1.8857e+05
50.909091, 59.090909, 1.8567e+05
50.909091, 60.000000, 1.8285e+05
50.909091, 60.909091, 1.8012e+05
50.909091, 61.818182, 1.7748e+05
50.909091, 62.727273, 1.7490e+05
50.909091, 63.636364, 1.7241e+05
50.909091, 64.545455, 1.6998e+05
50.909091, 65.454545, 1.6762e+05
50.909091, 66.363636, 1.6532e+05
50.909091, 67.272727, 1.6309e+05
50.909091, 68.181818, 1.6091e+05
50.909091, 69.090909, 1.5879e+05
50.909091, 70.000000, 1.5673e+05
50.909091, 70.909091, 1.5472e+05
50.909091, 71.818182, 1.5276e+05
50.909091, 72.727273, 1.5085e+05
50.909091, 73.636364, 1.4899e+05
50.909091, 74.545455, 1.4718e+05
50.909091, 75.454545, 1.4540e+05
50.909091, 76.363636, 1.4367e+05
50.909091, 77.272727, 1.4198e+05
50.909091, 78.181818, 1.4033e+05
50.909091, 79.090909, 1.3872e+05
50.909091, 80.000000, 1.3714e+05
50.909091, 80.909091, 1.3560e+05
50.909091, 81.818182, 1.3409e+05
50.909091, 82.727273, 1.3262e+05
50.909091, 83.636364, 1.3118e+05
50.909091, 84.545455, 1.2977e+05
50.909091, 85.454545, 1.2839e+05
50.909091, 86.363636, 1.2704e+05
50.909091, 87.272727, 1.2571e+05
50.909091, 88.181818, 1.2442e+05
50.909091, 89.090909, 1.2315e+05
50.909091, 90.000000, 1.2190e+05
50.909091, 90.909091, 1.2068e+05
50.909091, 91.818182, 1.1949e+05
50.909091, 92.727273, 1.1832e+05
50.909091, 93.636364, 1.1717e+05
50.909091, 94.545455, 1.1604e+05
50.909091, 95.454545, 1.1494e+05
50.909091, 96.363636, 1.1385e+05
50.909091, 97.272727, 1.1279e+05
50.909091, 98.181818, 1.1174e+05
50.909091, 99.090909, 1.1072e+05
50.909091, 100.000000, 1.0971e+05
51.818182, 10.000000, 1.0779e+06
51.818182, 10.909091, 9.8805e+05
51.818182, 11.818182, 9.1205e+05
51.818182, 12.727273, 8.4690e+05
51.818182, 13.636364, 7.9044e+05
51.818182, 14.545455, 7.4104e+05
51.818182, 15.454545, 6.9745e+05
51.818182, 16.363636, 6.5870e+05
51.818182, 17.272727, 6.2403e+05
51.818182, 18.181818, 5.9283e+05
51.818182, 19.090909, 5.6460e+05
51.818182, 20.000000, 5.3894e+05
51.818182, 20.909091, 5.1551e+05
51.818182, 21.818182, 4.9403e+05
51.818182, 22.727273, 4.7427e+05
51.818182, 23.636364, 4.5602e+05
51.818182, 24.545455, 4.3913e+05
51.818182, 25.454545, 4.2345e+05
51.818182, 26.363636, 4.0885e+05
51.818182, 27.272727, 3.9522e+05
51.818182, 28.181818, 3.8247e+05
51.818182, 29.090909, 3.7052e+05
51.818182, 30.000000, 3.5929e+05
51.818182, 30.909091, 3.4872e+05
51.818182, 31.818182, 3.3876e+05
51.818182, 32.727273, 3.2935e+05
51.818182, 33.636364, 3.2045e+05
51.818182, 34.545455, 3.1202e+05
51.818182, 35.454545, 3.0402e+05
51.818182, 36.363636, 2.9642e+05
51.818182, 37.272727, 2.8919e+05
51.818182, 38.181818, 2.8230e+05
51.818182, 39.090909, 2.7574e+05
51.818182, 40.000000, 2.6947e+05
51.818182, 40.909091, 2.6348e+05
51.818182, 41.818182, 2.5775e+05
51.818182, 42.727273, 2.5227e+05
51.818182, 43.636364, 2.4701e+05
51.818182, 44.545455, 2.4197e+05
51.818182, 45.454545, 2.3713e+05
51.818182, 46.363636, 2.3248e+05
51.818182, 47.272727, 2.2801e+05
51.818182, 48.181818, 2.2371e+05
51.818182, 49.090909, 2.1957e+05
51.818182, 50.000000, 2.1558e+05
51.818182, 50.909091, 2.1173e+05
51.818182, 51.818182, 2.0801e+05
51.818182, 52.727273, 2.0442e+05
51.818182, 53.636364, 2.0096e+05
51.818182, 54.545455, 1.9761e+05
51.818182, 55.454545, 1.9437e+05
51.818182, 56.363636, 1.9124e+05
51.818182, 57.272727, 1.8820e+05
51.818182, 58.181818, 1.8526e+05
51.818182, 59.090909, 1.8241e+05
51.818182, 60.000000, 1.7965e+05
51.818182, 60.909091, 1.7696e+05
51.818182, 61.818182, 1.7436e+05
51.818182, 62.727273, 1.7184e+05
51.818182, 63.636364, 1.6938e+05
51.818182, 64.545455, 1.6699e+05
51.818182, 65.454545, 1.6468e+05
51.818182, 66.363636, 1.6242e+05
51.818182, 67.272727, 1.6022e+05
51.818182, 68.181818, 1.5809e+05
51.818182, 69.090909, 1.5601e+05
51.818182, 70.000000, 1.5398e+05
51.818182, 70.909091, 1.5201e+05
51.818182, 71.818182, 1.5008e+05
51.818182, 72.727273, 1.4821e+05
51.818182, 73.636364, 1.4638e+05
51.818182, 74.545455, 1.4459e+05
51.818182, 75.454545, 1.4285e+05
51.818182, 76.363636, 1.4115e+05
51.818182, 77.272727, 1.3949e+05
51.818182, 78.181818, 1.3787e+05
51.818182, 79.090909, 1.3628e+05
51.818182, 80.000000, 1.3473e+05
51.818182, 80.909091, 1.3322e+05
51.818182, 81.818182, 1.3174e+05
51.818182, 82.727273, 1.3029e+05
51.818182, 83.636364, 1.2888e+05
51.818182, 84.545455, 1.2749e+05
51.818182, 85.454545, 1.2613e+05
51.818182, 86.363636, 1.2481e+05
51.818182, 87.272727, 1.2351e+05
51.818182, 88.181818, 1.2223e+05
51.818182, 89.090909, 1.2099e+05
51.818182, 90.000000, 1.1976e+05
51.818182, 90.909091, 1.1857e+05
51.818182, 91.818182, 1.1739e+05
51.818182, 92.727273, 1.1624e+05
51.818182, 93.636364, 1.1511e+05
51.818182, 94.545455, 1.1401e+05
51.818182, 95.454545, 1.1292e+05
51.818182, 96.363636, 1.1186e+05
51.818182, 97.272727, 1.1081e+05
51.818182, 98.181818, 1.0978e+05
51.818182, 99.090909, 1.0878e+05
51.818182, 100.000000, 1.0779e+05
52.727273, 10.000000, 1.0593e+06
52.727273, 10.909091, 9.7102e+05
52.727273, 11.818182, 8.9632e+05
52.727273, 12.727273, 8.3230e+05
52.727273, 13.636364, 7.7681e+05
52.727273, 14.545455, 7.2826e+05
52.727273, 15.454545, 6.8542e+05
52.727273, 16.363636, 6.4735e+05
52.727273, 17.272727, 6.1327e+05
52.727273, 18.181818, 5.8261e+05
52.727273, 19.090909, 5.5487e+05
52.727273, 20.000000, 5.2965e+05
52.727273, 20.909091, 5.0662e+05
52.727273, 21.818182, 4.8551e+05
52.727273, 22.727273, 4.6609e+05
52.727273, 23.636364, 4.4816e+05
52.727273, 24.545455, 4.3156e+05
52.727273, 25.454545, 4.1615e+05
52.727273, 26.363636, 4.0180e+05
52.727273, 27.272727, 3.8841e+05
52.727273, 28.181818, 3.7588e+05
52.727273, 29.090909, 3.6413e+05
52.727273, 30.000000, 3.5310e+05
52.727273, 30.909091, 3.4271e+05
52.727273, 31.818182, 3.3292e+05
52.727273, 32.727273, 3.2367e+05
52.727273, 33.636364, 3.1492e+05
52.727273, 34.545455, 3.0664e+05
52.727273, 35.454545, 2.9877e+05
52.727273, 36.363636, 2.9131e+05
52.727273, 37.272727, 2.8420e+05
52.727273, 38.181818, 2.7743e+05
52.727273, 39.090909, 2.7098e+05
52.727273, 40.000000, 2.6482e+05
52.727273, 40.909091, 2.5894e+05
52.727273, 41.818182, 2.5331e+05
52.727273, 42.727273, 2.4792e+05
52.727273, 43.636364, 2.4275e+05
52.727273, 44.545455, 2.3780e+05
52.727273, 45.454545, 2.3304e+05
52.727273, 46.363636, 2.2847e+05
52.727273, 47.272727, 2.2408e+05
52.727273, 48.181818, 2.1985e+05
52.727273, 49.090909, 2.1578e+05
52.727273, 50.000000, 2.1186e+05
52.727273, 50.909091, 2.0808e+05
52.727273, 51.818182, 2.0442e+05
52.727273, 52.727273, 2.0090e+05
52.727273, 53.636364, 1.9750e+05
52.727273, 54.545455, 1.9420e+05
52.727273, 55.454545, 1.9102e+05
52.727273, 56.363636, 1.8794e+05
52.727273, 57.272727, 1.8496e+05
52.727273, 58.181818, 1.8207e+05
52.727273, 59.090909, 1.7926e+05
52.727273, 60.000000, 1.7655e+05
52.727273, 60.909091, 1.7391e+05
52.727273, 61.818182, 1.7136e+05
52.727273, 62.727273, 1.6887e+05
52.727273, 63.636364, 1.6646e+05
52.727273, 64.545455, 1.6412e+05
52.727273, 65.454545, 1.6184e+05
52.727273, 66.363636, 1.5962e+05
52.727273, 67.272727, 1.5746e+05
52.727273, 68.181818, 1.5536e+05
52.727273, 69.090909, 1.5332e+05
52.727273, 70.000000, 1.5133e+05
52.727273, 70.909091, 1.4939e+05
52.727273, 71.818182, 1.4750e+05
52.727273, 72.727273, 1.4565e+05
52.727273, 73.636364, 1.4385e+05
52.727273, 74.545455, 1.4210e+05
52.727273, 75.454545, 1.4039e+05
52.727273, 76.363636, 1.3872e+05
52.727273, 77.272727, 1.3708e+05
52.727273, 78.181818, 1.3549e+05
52.727273, 79.090909, 1.3393e+05
52.727273, 80.000000, 1.3241e+05
52.727273, 80.909091, 1.3092e+05
52.727273, 81.818182, 1.2947e+05
52.727273, 82.727273, 1.2805e+05
52.727273, 83.636364, 1.2665e+05
52.727273, 84.545455, 1.2529e+05
52.727273, 85.454545, 1.2396e+05
52.727273, 86.363636, 1.2265e+05
52.727273, 87.272727, 1.2138e+05
52.727273, 88.181818, 1.2013e+05
52.727273, 89.090909, 1.1890e+05
52.727273, 90.000000, 1.1770e+05
52.727273, 90.909091, 1.1652e+05
52.727273, 91.818182, 1.1537e+05
52.727273, 92.727273, 1.1424e+05
52.727273, 93.636364, 1.1313e+05
52.727273, 94.545455, 1.1204e+05
52.727273, 95.454545, 1.1097e+05
52.727273, 96.363636, 1.0993e+05
52.727273, 97.272727, 1.0890e+05
52.727273, 98.181818, 1.0789e+05
52.727273, 99.090909, 1.0690e+05
52.727273, 100.000000, 1.0593e+05
53.636364, 10.000000, 1.0413e+06
53.636364, 10.909091, 9.5456e+05
53.636364, 11.818182, 8.8113e+05
53.636364, 12.727273, 8.1819e+05
53.636364, 13.636364, 7.6365e+05
53.636364, 14.545455, 7.1592e+05
53.636364, 15.454545, 6.7381e+05
53.636364, 16.363636, 6.3637e+05
53.636364, 17.272727, 6.0288e+05
53.636364, 18.181818, 5.7274e+05
53.636364, 19.090909, 5.4546e+05
53.636364, 20.000000, 5.2067e+05
53.636364, 20.909091, 4.9803e+05
53.636364, 21.818182, 4.7728e+05
53.636364, 22.727273, 4.5819e+05
53.636364, 23.636364, 4.4057e+05
53.636364, 24.545455, 4.2425e+05
53.636364, 25.454545, 4.0910e+05
53.636364, 26.363636, 3.9499e+05
53.636364, 27.272727, 3.8182e+05
53.636364, 28.181818, 3.6951e+05
53.636364, 29.090909, 3.5796e+05
53.636364, 30.000000, 3.4711e+05
53.636364, 30.909091, 3.3690e+05
53.636364, 31.818182, 3.2728e+05
53.636364, 32.727273, 3.1819e+05
53.636364, 33.636364, 3.0959e+05
53.636364, 34.545455, 3.0144e+05
53.636364, 35.454545, 2.9371e+05
53.636364, 36.363636, 2.8637e+05
53.636364, 37.272727, 2.7938e+05
53.636364, 38.181818, 2.7273e+05
53.636364, 39.090909, 2.6639e+05
53.636364, 40.000000, 2.6033e+05
53.636364, 40.909091, 2.5455e+05
53.636364, 41.818182, 2.4902e+05
53.636364, 42.727273, 2.4372e+05
53.636364, 43.636364, 2.3864e+05
53.636364, 44.545455, 2.3377e+05
53.636364, 45.454545, 2.2909e+05
53.636364, 46.363636, 2.2460e+05
53.636364, 47.272727, 2.2028e+05
53.636364, 48.181818, 2.1613e+05
53.636364, 49.090909, 2.1212e+05
53.636364, 50.000000, 2.0827e+05
53.636364, 50.909091, 2.0455e+05
53.636364, 51.818182, 2.0096e+05
53.636364, 52.727273, 1.9750e+05
53.636364, 53.636364, 1.9415e+05
53.636364, 54.545455, 1.9091e+05
53.636364, 55.454545, 1.8778e+05
53.636364, 56.363636, 1.8475e+05
53.636364, 57.272727, 1.8182e+05
53.636364, 58.181818, 1.7898e+05
53.636364, 59.090909, 1.7623e+05
53.636364, 60.000000, 1.7356e+05
53.636364, 60.909091, 1.7097e+05
53.636364, 61.818182, 1.6845e+05
53.636364, 62.727273, 1.6601e+05
53.636364, 63.636364, 1.6364e+05
53.636364, 64.545455, 1.6133e+05
53.636364, 65.454545, 1.5909e+05
53.636364, 66.363636, 1.5691e+05
53.636364, 67.272727, 1.5479e+05
53.636364, 68.181818, 1.5273e+05
53.636364, 69.090909, 1.5072e+05
53.636364, 70.000000, 1.4876e+05
53.636364, 70.909091, 1.4686e+05
53.636364, 71.818182, 1.4500e+05
53.636364, 72.727273, 1.4318e+05
53.636364, 73.636364, 1.4142e+05
53.636364, 74.545455, 1.3969e+05
53.636364, 75.454545, 1.3801e+05
53.636364, 76.363636, 1.3637e+05
53.636364, 77.272727, 1.3476e+05
53.636364, 78.181818, 1.3319e+05
53.636364, 79.090909, 1.3166e+05
53.636364, 80.000000, 1.3017e+05
53.636364, 80.909091, 1.2870e+05
53.636364, 81.818182, 1.2727e+05
53.636364, 82.727273, 1.2588e+05
53.636364, 83.636364, 1.2451e+05
53.636364, 84.545455, 1.2317e+05
53.636364, 85.454545, 1.2186e+05
53.636364, 86.363636, 1.2058e+05
53.636364, 87.272727, 1.1932e+05
53.636364, 88.181818, 1.1809e+05
53.636364, 89.090909, 1.1688e+05
53.636364, 90.000000, 1.1570e+05
53.636364, 90.909091, 1.1455e+05
53.636364, 91.818182, 1.1341e+05
53.636364, 92.727273, 1.1230e+05
53.636364, 93.636364, 1.1121e+05
53.636364, 94.545455, 1.1014e+05
53.636364, 95.454545, 1.0909e+05
53.636364, 96.363636, 1.0806e+05
53.636364, 97.272727, 1.0705e+05
53.636364, 98.181818, 1.0606e+05
53.636364, 99.090909, 1.0509e+05
53.636364, 100.000000, 1.0413e+05
54.545455, 10.000000, 1.0240e+06
54.545455, 10.909091, 9.3865e+05
54.545455, 11.818182, 8.6645e+05
54.545455, 12.727273, 8.0456e+05
54.545455, 13.636364, 7.5092e+05
54.545455, 14.545455, 7.0399e+05
54.545455, 15.454545, 6.6258e+05
54.545455, 16.363636, 6.2577e+05
54.545455, 17.272727, 5.9283e+05
54.545455, 18.181818, 5.6319e+05
54.545455, 19.090909, 5.3637e+05
54.545455, 20.000000, 5.1199e+05
54.545455, 20.909091, 4.8973e+05
54.545455, 21.818182, 4.6933e+05
54.545455, 22.727273, 4.5055e+05
54.545455, 23.636364, 4.3322e+05
54.545455, 24.545455, 4.1718e+05
54.545455, 25.454545, 4.0228e+05
54.545455, 26.363636, 3.8841e+05
54.545455, 27.272727, 3.7546e+05
54.545455, 28.181818, 3.6335e+05
54.545455, 29.090909, 3.5199e+05
54.545455, 30.000000, 3.4133e+05
54.545455, 30.909091, 3.3129e+05
54.545455, 31.818182, 3.2182e+05
54.545455, 32.727273, 3.1288e+05
54.545455, 33.636364, 3.0443e+05
54.545455, 34.545455, 2.9642e+05
54.545455, 35.454545, 2.8882e+05
54.545455, 36.363636, 2.8160e+05
54.545455, 37.272727, 2.7473e+05
54.545455, 38.181818, 2.6819e+05
54.545455, 39.090909, 2.6195e+05
54.545455, 40.000000, 2.5600e+05
54.545455, 40.909091, 2.5031e+05
54.545455, 41.818182, 2.4487e+05
54.545455, 42.727273, 2.3966e+05
54.545455, 43.636364, 2.3466e+05
54.545455, 44.545455, 2.2987e+05
54.545455, 45.454545, 2.2528e+05
54.545455, 46.363636, 2.2086e+05
54.545455, 47.272727, 2.1661e+05
54.545455, 48.181818, 2.1252e+05
54.545455, 49.090909, 2.0859e+05
54.545455, 50.000000, 2.0480e+05
54.545455, 50.909091, 2.0114e+05
54.545455, 51.818182, 1.9761e+05
54.545455, 52.727273, 1.9420e+05
54.545455, 53.636364, 1.9091e+05
54.545455, 54.545455, 1.8773e+05
54.545455, 55.454545, 1.8465e+05
54.545455, 56.363636, 1.8167e+05
54.545455, 57.272727, 1.7879e+05
54.545455, 58.181818, 1.7600e+05
54.545455, 59.090909, 1.7329e+05
54.545455, 60.000000, 1.7066e+05
54.545455, 60.909091, 1.6812e+05
54.545455, 61.818182, 1.6564e+05
54.545455, 62.727273, 1.6324e+05
54.545455, 63.636364, 1.6091e+05
54.545455, 64.545455, 1.5865e+05
54.545455, 65.454545, 1.5644e+05
54.545455, 66.363636, 1.5430e+05
54.545455, 67.272727, 1.5221e+05
54.545455, 68.181818, 1.5018e+05
54.545455, 69.090909, 1.4821e+05
54.545455, 70.000000, 1.4628e+05
54.545455, 70.909091, 1.4441e+05
54.545455, 71.818182, 1.4258e+05
54.545455, 72.727273, 1.4080e+05
54.545455, 73.636364, 1.3906e+05
54.545455, 74.545455, 1.3736e+05
54.545455, 75.454545, 1.3571e+05
54.545455, 76.363636, 1.3409e+05
54.545455, 77.272727, 1.3252e+05
54.545455, 78.181818, 1.3097e+05
54.545455, 79.090909, 1.2947e+05
54.545455, 80.000000, 1.2800e+05
54.545455, 80.909091, 1.2656e+05
54.545455, 81.818182, 1.2515e+05
54.545455, 82.727273, 1.2378e+05
54.545455, 83.636364, 1.2243e+05
54.545455, 84.545455, 1.2112e+05
54.545455, 85.454545, 1.1983e+05
54.545455, 86.363636, 1.1857e+05
54.545455, 87.272727, 1.1733e+05
54.545455, 88.181818, 1.1612e+05
54.545455, 89.090909, 1.1494e+05
54.545455, 90.000000, 1.1378e+05
54.545455, 90.909091, 1.1264e+05
54.545455, 91.818182, 1.1152e+05
54.545455, 92.727273, 1.1043e+05
54.545455, 93.636364, 1.0936e+05
54.545455, 94.545455, 1.0831e+05
54.545455, 95.454545, 1.0727e+05
54.545455, 96.363636, 1.0626e+05
54.545455, 97.272727, 1.0527e+05
54.545455, 98.181818, 1.0429e+05
54.545455, 99.090909, 1.0334e+05
54.545455, 100.000000, 1.0240e+05
55.454545, 10.000000, 1.0072e+06
55.454545, 10.909091, 9.2326e+05
55.454545, 11.818182, 8.5224e+05
55.454545, 12.727273, 7.9137e+05
55.454545, 13.636364, 7.3861e+05
55.454545, 14.545455, 6.9245e+05
55.454545, 15.454545, 6.5172e+05
55.454545, 16.363636, 6.1551e+05
55.454545, 17.272727, 5.8311e+05
55.454545, 18.181818, 5.5396e+05
55.454545, 19.090909, 5.2758e+05
55.454545, 20.000000, 5.0360e+05
55.454545, 20.909091, 4.8170e+05
55.454545, 21.818182, 4.6163e+05
55.454545, 22.727273, 4.4317e+05
55.454545, 23.636364, 4.2612e+05
55.454545, 24.545455, 4.1034e+05
55.454545, 25.454545, 3.9568e+05
55.454545, 26.363636, 3.8204e+05
55.454545, 27.272727, 3.6931e+05
55.454545, 28.181818, 3.5739e+05
55.454545, 29.090909, 3.4622e+05
55.454545, 30.000000, 3.3573e+05
55.454545, 30.909091, 3.2586e+05
55.454545, 31.818182, 3.1655e+05
55.454545, 32.727273, 3.0775e+05
55.454545, 33.636364, 2.9944e+05
55.454545, 34.545455, 2.9156e+05
55.454545, 35.454545, 2.8408e+05
55.454545, 36.363636, 2.7698e+05
55.454545, 37.272727, 2.7022e+05
55.454545, 38.181818, 2.6379e+05
55.454545, 39.090909, 2.5765e+05
55.454545, 40.000000, 2.5180e+05
55.454545, 40.909091, 2.4620e+05
55.454545, 41.818182, 2.4085e+05
55.454545, 42.727273, 2.3573e+05
55.454545, 43.636364, 2.3082e+05
55.454545, 44.545455, 2.2611e+05
55.454545, 45.454545, 2.2158e+05
55.454545, 46.363636, 2.1724e+05
55.454545, 47.272727, 2.1306e+05
55.454545, 48.181818, 2.0904e+05
55.454545, 49.090909, 2.0517e+05
55.454545, 50.000000, 2.0144e+05
55.454545, 50.909091, 1.9784e+05
55.454545, 51.818182, 1.9437e+05
55.454545, 52.727273, 1.9102e+05
55.454545, 53.636364, 1.8778e+05
55.454545, 54.545455, 1.8465e+05
55.454545, 55.454545, 1.8163e+05
55.454545, 56.363636, 1.7870e+05
55.454545, 57.272727, 1.7586e+05
55.454545, 58.181818, 1.7311e+05
55.454545, 59.090909, 1.7045e+05
55.454545, 60.000000, 1.6787e+05
55.454545, 60.909091, 1.6536e+05
55.454545, 61.818182, 1.6293e+05
55.454545, 62.727273, 1.6057e+05
55.454545, 63.636364, 1.5827e+05
55.454545, 64.545455, 1.5604e+05
55.454545, 65.454545, 1.5388e+05
55.454545, 66.363636, 1.5177e+05
55.454545, 67.272727, 1.4972e+05
55.454545, 68.181818, 1.4772e+05
55.454545, 69.090909, 1.4578e+05
55.454545, 70.000000, 1.4389e+05
55.454545, 70.909091, 1.4204e+05
55.454545, 71.818182, 1.4024e+05
55.454545, 72.727273, 1.3849e+05
55.454545, 73.636364, 1.3678e+05
55.454545, 74.545455, 1.3511e+05
55.454545, 75.454545, 1.3348e+05
55.454545, 76.363636, 1.3189e+05
55.454545, 77.272727, 1.3034e+05
55.454545, 78.181818, 1.2883e+05
55.454545, 79.090909, 1.2735e+05
55.454545, 80.000000, 1.2590e+05
55.454545, 80.909091, 1.2448e+05
55.454545, 81.818182, 1.2310e+05
55.454545, 82.727273, 1.2175e+05
55.454545, 83.636364, 1.2043e+05
55.454545, 84.545455, 1.1913e+05
55.454545, 85.454545, 1.1786e+05
55.454545, 86.363636, 1.1662e+05
55.454545, 87.272727, 1.1541e+05
55.454545, 88.181818, 1.1422e+05
55.454545, 89.090909, 1.1305e+05
55.454545, 90.000000, 1.1191e+05
55.454545, 90.909091, 1.1079e+05
55.454545, 91.818182, 1.0969e+05
55.454545, 92.727273, 1.0862e+05
55.454545, 93.636364, 1.0756e+05
55.454545, 94.545455, 1.0653e+05
55.454545, 95.454545, 1.0552e+05
55.454545, 96.363636, 1.0452e+05
55.454545, 97.272727, 1.0354e+05
55.454545, 98.181818, 1.0258e+05
