Length (nm), Thickness (nm), Width (nm), Inductance (H)
50.000000, 100.000000, 140.000000, 1.361062525292e-07
51.515152, 10.000000, 50.000000, 2.593827762067e-07
51.515152, 10.000000, 60.000000, 2.370938167118e-07
51.515152, 10.000000, 70.000000, 2.189287146575e-07
51.515152, 10.000000, 80.000000, 2.039132839968e-07
51.515152, 10.000000, 90.000000, 1.913823573358e-07
51.515152, 10.000000, 100.000000, 1.808614978455e-07
51.515152, 10.000000, 110.000000, 1.720003989182e-07
51.515152, 10.000000, 120.000000, 1.645330338541e-07
51.515152, 10.000000, 130.000000, 1.582526158939e-07
51.515152, 10.000000, 140.000000, 1.529952180671e-07
51.515152, 20.000000, 50.000000, 2.370938167118e-07
51.515152, 20.000000, 60.000000, 2.189287146575e-07
51.515152, 20.000000, 70.000000, 2.039132839968e-07
51.515152, 20.000000, 80.000000, 1.913823573358e-07
51.515152, 20.000000, 90.000000, 1.808614978455e-07
51.515152, 20.000000, 100.000000, 1.720003989182e-07
51.515152, 20.000000, 110.000000, 1.645330338541e-07
51.515152, 20.000000, 120.000000, 1.582526158939e-07
51.515152, 20.000000, 130.000000, 1.529952180671e-07
51.515152, 20.000000, 140.000000, 1.486286903102e-07
51.515152, 30.000000, 50.000000, 2.189287146575e-07
51.515152, 30.000000, 60.000000, 2.039132839968e-07
51.515152, 30.000000, 70.000000, 1.913823573358e-07
51.515152, 30.000000, 80.000000, 1.808614978455e-07
51.515152, 30.000000, 90.000000, 1.720003989182e-07
51.515152, 30.000000, 100.000000, 1.645330338541e-07
51.515152, 30.000000, 110.000000, 1.582526158939e-07
51.515152, 30.000000, 120.000000, 1.529952180671e-07
51.515152, 30.000000, 130.000000, 1.486286903102e-07
51.515152, 30.000000, 140.000000, 1.450449424175e-07
51.515152, 40.000000, 50.000000, 2.039132839968e-07
51.515152, 40.000000, 60.000000, 1.913823573358e-07
51.515152, 40.000000, 70.000000, 1.808614978455e-07
51.515152, 40.000000, 80.000000, 1.720003989182e-07
51.515152, 40.000000, 90.000000, 1.645330338541e-07
51.515152, 40.000000, 100.000000, 1.582526158939e-07
51.515152, 40.000000, 110.000000, 1.529952180671e-07
51.515152, 40.000000, 120.000000, 1.486286903102e-07
