Copper Inductance (H),Graphene Inductance (H),Final Inductance (H)
1.2913679834809697e-06,1.551322212401e-07,1.384948187783921e-07
1.2908737858800798e-06,2.411830887923e-07,2.032149929069344e-07
1.2903799795678067e-06,2.227739531246e-07,1.899760776946652e-07
1.2898865640508204e-06,2.075144888504e-07,1.7875648644389074e-07
1.2893935388366995e-06,1.94739528576e-07,1.6918691148074518e-07
1.2889009034339304e-06,1.839746354723e-07,1.6099464456125501e-07
1.2884086573519068e-06,1.748695029315e-07,1.539716696380766e-07
1.287916800100922e-06,1.671581042539e-07,1.479550847157773e-07
1.287425331192172e-06,1.606336526803e-07,1.4281450949566872e-07
1.2869342501377511e-06,1.551322212401e-07,1.3844366593106978e-07
1.2864435564506483e-06,1.505216598697e-07,1.3475456277326013e-07
1.2859532496447483e-06,2.227739531246e-07,1.8987984602580422e-07
1.2854633292348247e-06,2.075144888504e-07,1.786712853136783e-07
1.2849737947365415e-06,1.94739528576e-07,1.6911058856949537e-07
1.2844846456664483e-06,1.839746354723e-07,1.609255343280595e-07
1.2839958815419811e-06,1.748695029315e-07,1.5390845787486766e-07
1.283507501881456e-06,1.671581042539e-07,1.4789671713644012e-07
1.2830195062040696e-06,1.606336526803e-07,1.4276012799424902e-07
1.2825318940298967e-06,1.551322212401e-07,1.3839256292125293e-07
1.2820446648798874e-06,1.505216598697e-07,1.3470614773703134e-07
1.2815578182758647e-06,1.466938783636e-07,1.316271404770027e-07
1.2810713537405207e-06,2.075144888504e-07,1.785861853218028e-07
1.28058527079742e-06,1.94739528576e-07,1.690343523286346e-07
1.28009956897099e-06,1.839746354723e-07,1.60856499523695e-07
1.279614247786524e-06,1.748695029315e-07,1.5384531270564563e-07
1.2791293067701772e-06,1.671581042539e-07,1.4783840914712118e-07
1.278644745448965e-06,1.606336526803e-07,1.4270580049621003e-07
1.2781605633507598e-06,1.551322212401e-07,1.3834150944302843e-07
1.2776767600042896e-06,1.505216598697e-07,1.346577786507804e-07
1.277193334939135e-06,1.466938783636e-07,1.3158095807868452e-07
1.2767102876857292e-06,1.435593384527e-07,1.2904851369260747e-07
1.276227617775353e-06,1.94739528576e-07,1.6895820226693205e-07
1.2757453247401346e-06,1.839746354723e-07,1.6078753971439864e-07
1.2752634081130466e-06,1.748695029315e-07,1.537822337421653e-07
1.2747818674279048e-06,1.671581042539e-07,1.4778016039596825e-07
1.2743007022193644e-06,1.606336526803e-07,1.426515266789893e-07
1.273819912022919e-06,1.551322212401e-07,1.3829050519749717e-07
1.2733394963748992e-06,1.505216598697e-07,1.3460945523474363e-07
1.2728594548124696e-06,1.466938783636e-07,1.315348185055188e-07
1.2723797868736247e-06,1.435593384527e-07,1.29004133862088e-07
1.271900492097191e-06,1.410430370558e-07,1.2696382023540166e-07
1.271421570022822e-06,1.839746354723e-07,1.607186544759423e-07
1.2709430201909974e-06,1.748695029315e-07,1.5371922060480652e-07
1.2704648421430195e-06,1.671581042539e-07,1.4772197053901484e-07
1.2699870354210133e-06,1.606336526803e-07,1.425973062273065e-07
1.2695095995679213e-06,1.551322212401e-07,1.3823954989254845e-07
1.2690325341275057e-06,1.505216598697e-07,1.34561177215542e-07
1.2685558386443427e-06,1.466938783636e-07,1.3148872149923448e-07
1.2680795126638225e-06,1.435593384527e-07,1.2895979435494712e-07
1.2676035557321467e-06,1.410430370558e-07,1.2692087298443277e-07
1.2671279673963246e-06,1.390815210355e-07,1.253256264460531e-07
1.2666527472041746e-06,1.748695029315e-07,1.536562729222984e-07
1.26617789470432e-06,1.671581042539e-07,1.4766383923992808e-07
1.2657034094461869e-06,1.606336526803e-07,1.425431388329307e-07
1.2652292909800022e-06,1.551322212401e-07,1.3818864324264296e-07
1.264755538856793e-06,1.505216598697e-07,1.3451294432597691e-07
1.2642821526283834e-06,1.466938783636e-07,1.314426668074223e-07
1.2638091318473928e-06,1.435593384527e-07,1.289154949306248e-07
1.2633364760672335e-06,1.410430370558e-07,1.2687796407087316e-07
1.2628641848421093e-06,1.390815210355e-07,1.2528379020152365e-07
1.2623922577270134e-06,1.376206310587e-07,1.2409258553518933e-07
1.2619206942777275e-06,1.671581042539e-07,1.476057661697665e-07
1.2614494940508176e-06,1.606336526803e-07,1.4248902419445662e-07
1.2609786566036331e-06,1.551322212401e-07,1.3813778496860417e-07
1.260508181494306e-06,1.505216598697e-07,1.3446475630483426e-07
1.2600380682817471e-06,1.466938783636e-07,1.3139665418334905e-07
1.2595683165256458e-06,1.435593384527e-07,1.2887123535398735e-07
1.2590989257864662e-06,1.410430370558e-07,1.268350932687707e-07
1.2586298956254483e-06,1.390815210355e-07,1.2524199074121425e-07
1.258161225604602e-06,1.376206310587e-07,1.2405157798455368e-07
1.257692915286709e-06,1.366137707889e-07,1.2322839255357678e-07
1.257224964235318e-06,1.606336526803e-07,1.424349620170892e-07
1.256757372014746e-06,1.551322212401e-07,1.380869747974177e-07
1.2562901381900729e-06,1.505216598697e-07,1.3441661289669544e-07
1.2558232623271406e-06,1.466938783636e-07,1.3135068338577855e-07
1.2553567439925538e-06,1.435593384527e-07,1.2882701539515632e-07
1.2548905827536753e-06,1.410430370558e-07,1.267922603572354e-07
1.2544247781786243e-06,1.390815210355e-07,1.2520022785120854e-07
1.2539593298362768e-06,1.376206310587e-07,1.240106060330348e-07
1.2534942372962607e-06,1.366137707889e-07,1.2318796339795464e-07
1.2530295001289563e-06,1.360205611319e-07,1.2270095979669483e-07
1.2525651179054931e-06,1.551322212401e-07,1.380362124620382e-07
1.2521010901977496e-06,1.505216598697e-07,1.3436851385175604e-07
1.2516374165783484e-06,1.466938783636e-07,1.313047541787994e-07
1.2511740966206588e-06,1.435593384527e-07,1.2878283482934425e-07
1.2507111298987913e-06,1.410430370558e-07,1.26749465120281e-07
1.2502485159875972e-06,1.390815210355e-07,1.2515850132234694e-07
1.2497862544626667e-06,1.376206310587e-07,1.2396966947659882e-07
1.2493243449003277e-06,1.366137707889e-07,1.2314756897376282e-07
1.248862786877642e-06,1.360205611319e-07,1.2266088497056205e-07
1.248401579972408e-06,1.358057811052e-07,1.2248175849110594e-07
1.247940723763152e-06,2.679674001511e-07,2.2059874606781238e-07
1.247480217829133e-06,2.452039308523e-07,2.0492416519756917e-07
1.247020061750338e-06,2.265643189941e-07,1.9172994417850356e-07
1.24656025510748e-06,2.110743785295e-07,1.805095221220676e-07
1.2461007974819963e-06,1.980689420646e-07,1.709036409671634e-07
1.2456416884560485e-06,1.870735727704e-07,1.6264686177192565e-07
1.2451829276125191e-06,1.777379640391e-07,1.5553660059991667e-07
1.2447245145350098e-06,1.697960891711e-07,1.4941412243108763e-07
1.2442664488078405e-06,1.63041161407e-07,1.4415231285676348e-07
1.2438087300160468e-06,1.573092537763e-07,1.396474996557249e-07
1.2433513577453795e-06,2.452039308523e-07,2.0481243974278177e-07
1.2428943315823026e-06,2.265643189941e-07,1.9163214133729737e-07
1.2424376511139893e-06,2.110743785295e-07,1.8042283085531787e-07
1.2419813159283236e-06,1.980689420646e-07,1.708259305149415e-07
1.2415253256138968e-06,1.870735727704e-07,1.6257647868145582e-07
1.241069679760006e-06,1.777379640391e-07,1.5547223689925e-07
1.2406143779566532e-06,1.697960891711e-07,1.493547264828942e-07
1.2401594197945415e-06,1.63041161407e-07,1.440970270693551e-07
1.2397048048650775e-06,1.573092537763e-07,1.395956157705934e-07
1.2392505327603652e-06,1.524682162154e-07,1.3576472855094606e-07
1.2387966030732058e-06,2.265643189941e-07,1.9153445715716574e-07
1.2383430153970983e-06,2.110743785295e-07,1.8033623956532054e-07
1.2378897693262355e-06,1.980689420646e-07,1.7074830568460872e-07
1.2374368644555012e-06,1.870735727704e-07,1.6250617002308527e-07
1.2369843003804728e-06,1.777379640391e-07,1.5540793880709775e-07
1.2365320766974156e-06,1.697960891711e-07,1.4929538912290395e-07
1.2360801930032828e-06,1.63041161407e-07,1.4404179424763898e-07
1.2356286488957139e-06,1.573092537763e-07,1.3954378032900077e-07
1.2351774439730334e-06,1.524682162154e-07,1.3571569961635034e-07
1.234726577834248e-06,1.484099585188e-07,1.3248563347304046e-07
1.2342760500790467e-06,2.110743785295e-07,1.802497477757625e-07
1.233825860307798e-06,1.980689420646e-07,1.7067076606340879e-07
1.2333760081215472e-06,1.870735727704e-07,1.6243593543370082e-07
1.232926493122019e-06,1.777379640391e-07,1.553437059996375e-07
1.2324773149116098e-06,1.697960891711e-07,1.4923611005871026e-07
1.232028473093392e-06,1.63041161407e-07,1.4398661412451742e-07
1.2315799672711076e-06,1.573092537763e-07,1.3949199308433896e-07
1.2311317970491715e-06,1.524682162154e-07,1.3566671525194147e-07
1.2306839620326647e-06,1.484099585188e-07,1.3243895360077056e-07
1.2302364618273372e-06,1.450449424175e-07,1.297476837939474e-07
1.2297892960396037e-06,1.980689420646e-07,1.705933112466008e-07
1.2293424642765426e-06,1.870735727704e-07,1.623657745573512e-07
1.228895966145896e-06,1.777379640391e-07,1.5527953815951834e-07
1.2284498012560651e-06,1.697960891711e-07,1.4917688900381586e-07
1.2280039692161129e-06,1.63041161407e-07,1.4393148643834104e-07
1.227558469635758e-06,1.573092537763e-07,1.394402537950698e-07
1.2271133021253768e-06,1.524682162154e-07,1.3561777523249627e-07
1.2266684662959997e-06,1.484099585188e-07,1.3239231516837188e-07
1.22622396175931e-06,1.450449424175e-07,1.297029221494e-07
1.2257797881276457e-06,1.422981648301e-07,1.2749727744628019e-07
1.2253359450139913e-06,1.870735727704e-07,1.6229568704503318e-07
1.2248924320319808e-06,1.777379640391e-07,1.5521543497566775e-07
1.2244492487958982e-06,1.697960891711e-07,1.4911772567745595e-07
1.22400639492067e-06,1.63041161407e-07,1.4387641093274613e-07
1.2235638700218696e-06,1.573092537763e-07,1.3938856222457327e-07
1.2231216737157112e-06,1.524682162154e-07,1.3556887933740787e-07
1.2226798056190516e-06,1.484099585188e-07,1.3234571796821744e-07
1.2222382653493866e-06,1.450449424175e-07,1.2965819942132424e-07
1.221797052524851e-06,1.422981648301e-07,1.2745406343864606e-07
1.2213561667642159e-06,1.401061726193e-07,1.2568804364268972e-07
1.2209156076868889e-06,1.777379640391e-07,1.5515139614310541e-07
1.2204753749129103e-06,1.697960891711e-07,1.4905861980442815e-07
1.2200354680629548e-06,1.63041161407e-07,1.4382138735649727e-07
1.2195958867583251e-06,1.573092537763e-07,1.3933691814100133e-07
1.2191566306209572e-06,1.524682162154e-07,1.3552002735054824e-07
1.2187176992734127e-06,1.484099585188e-07,1.3229916179691879e-07
1.2182790923388812e-06,1.450449424175e-07,1.2961351541661443e-07
1.2178408094411764e-06,1.422981648301e-07,1.2741088632617871e-07
1.2174028502047371e-06,1.401061726193e-07,1.2564605539282797e-07
1.216965214254625e-06,1.384148064521e-07,1.242795393296124e-07
1.2165279012165215e-06,1.697960891711e-07,1.489995711149283e-07
1.2160909107167283e-06,1.63041161407e-07,1.4376641546333625e-07
1.215654242382166e-06,1.573092537763e-07,1.392853213171371e-07
1.2152178958403704e-06,1.524682162154e-07,1.3547121906013604e-07
1.2147818707194944e-06,1.484099585188e-07,1.3225264645520067e-07
1.214346166648304e-06,1.450449424175e-07,1.2956886994608775e-07
1.2139107832561779e-06,1.422981648301e-07,1.2736774592777158e-07
1.2134757201731072e-06,1.401061726193e-07,1.256041024375444e-07
1.213040977029691e-06,1.384148064521e-07,1.242384945968846e-07
1.2126065534571392e-06,1.371774699917e-07,1.2323623350762703e-07
1.212172449087266e-06,1.63041161407e-07,1.4371149501183583e-07
1.211738663552494e-06,1.573092537763e-07,1.3923377153025875e-07
1.2113051964858483e-06,1.524682162154e-07,1.3542245425860902e-07
1.210872047520958e-06,1.484099585188e-07,1.3220617174778046e-07
1.210439216292054e-06,1.450449424175e-07,1.295242628243689e-07
1.2100067024339672e-06,1.422981648301e-07,1.273246420659759e-07
1.2095745055821268e-06,1.401061726193e-07,1.255621846056407e-07
1.2091426253725604e-06,1.384148064521e-07,1.2419748391525604e-07
1.2087110614418928e-06,1.371774699917e-07,1.23195882487362e-07
1.2082798134273411e-06,1.363537841442e-07,1.2252670553778885e-07
1.2078488809667187e-06,1.573092537763e-07,1.3918226856200859e-07
1.2074182636984296e-06,1.524682162154e-07,1.3537373274250086e-07
1.2069879612614696e-06,1.484099585188e-07,1.3215973748325155e-07
1.2065579732954228e-06,1.450449424175e-07,1.2947969386977913e-07
1.2061282994404635e-06,1.422981648301e-07,1.2728157456689422e-07
1.205698939337352e-06,1.401061726193e-07,1.2552030172935398e-07
1.205269892627434e-06,1.384148064521e-07,1.241565071216867e-07
1.20484115895264e-06,1.371774699917e-07,1.2315556458184281e-07
1.2044127379554832e-06,1.363537841442e-07,1.2248682509951348e-07
1.2039846292790589e-06,1.359085279271e-07,1.221230049068721e-07
1.2035568325670431e-06,2.721390868806e-07,2.2195281094651226e-07
1.2031293474636902e-06,2.491575995638e-07,2.064115640455039e-07
1.2027021736138334e-06,2.302999696876e-07,1.9328810875910388e-07
1.2022753106628811e-06,2.14592011205e-07,1.8209092196236103e-07
1.2018487582568186e-06,2.01368556722e-07,1.72471182663504e-07
1.2014225160422047e-06,1.901551694098e-07,1.6417100134553213e-07
1.2009965836661703e-06,1.806015426605e-07,1.5699343507130347e-07
1.2005709607764187e-06,1.724416497745e-07,1.5078407551156607e-07
1.2001456470212229e-06,1.654687039924e-07,1.4541919881504019e-07
1.1997206420494253e-06,1.595187783436e-07,1.4079783760096263e-07
1.199295945510435e-06,2.491575995638e-07,2.062984346071405e-07
1.1988715570542293e-06,2.302999696876e-07,1.9318890565806138e-07
1.198447476331349e-06,2.14592011205e-07,1.8200287857340237e-07
1.1980237029929005e-06,2.01368556722e-07,1.723921954803261e-07
