Ncht,Nchb,Nchl,Nchr,Cg
3.256525652565256337e+02,3.256525652565256337e+02,1.245604560456045462e+01,1.245604560456045462e+01,1.304350135510411421e-11
3.259225922592259508e+02,3.259225922592259508e+02,1.246084608460846077e+01,1.246084608460846077e+01,1.305410360695011039e-11
3.261926192619262110e+02,3.261926192619262110e+02,1.246564656465646515e+01,1.246564656465646515e+01,1.306470585879609848e-11
3.264626462646264713e+02,3.264626462646264713e+02,1.247044704470446952e+01,1.247044704470446952e+01,1.307530811064209143e-11
3.267326732673267315e+02,3.267326732673267315e+02,1.247524752475247567e+01,1.247524752475247567e+01,1.308591036248807791e-11
3.270027002700269918e+02,3.270027002700269918e+02,1.248004800480047827e+01,1.248004800480047827e+01,1.309651261433406601e-11
3.272727272727273089e+02,3.272727272727273089e+02,1.248484848484848442e+01,1.248484848484848442e+01,1.310711486618006218e-11
3.275427542754275692e+02,3.275427542754275692e+02,1.248964896489648879e+01,1.248964896489648879e+01,1.311771711802604705e-11
3.278127812781278294e+02,3.278127812781278294e+02,1.249444944494449317e+01,1.249444944494449317e+01,1.312831936987203514e-11
3.280828082808280897e+02,3.280828082808280897e+02,1.249924992499249932e+01,1.249924992499249932e+01,1.313892162171802647e-11
3.283528352835283499e+02,3.283528352835283499e+02,1.250405040504050191e+01,1.250405040504050191e+01,1.314952387356401457e-11
3.286228622862286670e+02,3.286228622862286670e+02,1.250885088508850806e+01,1.250885088508850806e+01,1.316012612541001074e-11
3.288928892889289273e+02,3.288928892889289273e+02,1.251365136513651422e+01,1.251365136513651422e+01,1.317072837725599884e-11
3.291629162916291875e+02,3.291629162916291875e+02,1.251845184518451859e+01,1.251845184518451859e+01,1.318133062910198370e-11
3.294329432943293909e+02,3.294329432943293909e+02,1.252325232523252296e+01,1.252325232523252296e+01,1.319193288094797503e-11
3.297029702970296512e+02,3.297029702970296512e+02,1.252805280528052911e+01,1.252805280528052911e+01,1.320253513279395990e-11
3.299729972997299114e+02,3.299729972997299114e+02,1.253285328532853171e+01,1.253285328532853171e+01,1.321313738463995123e-11
3.302430243024302285e+02,3.302430243024302285e+02,1.253765376537653786e+01,1.253765376537653786e+01,1.322373963648594578e-11
3.305130513051304888e+02,3.305130513051304888e+02,1.254245424542454224e+01,1.254245424542454224e+01,1.323434188833193388e-11
3.307830783078307491e+02,3.307830783078307491e+02,1.254725472547254661e+01,1.254725472547254661e+01,1.324494414017792359e-11
3.310531053105310093e+02,3.310531053105310093e+02,1.255205520552055276e+01,1.255205520552055276e+01,1.325554639202391169e-11
3.313231323132312696e+02,3.313231323132312696e+02,1.255685568556855891e+01,1.255685568556855891e+01,1.326614864386989979e-11
3.315931593159315867e+02,3.315931593159315867e+02,1.256165616561655973e+01,1.256165616561655973e+01,1.327675089571589435e-11
3.318631863186318469e+02,3.318631863186318469e+02,1.256645664566456588e+01,1.256645664566456588e+01,1.328735314756188244e-11
3.321332133213321072e+02,3.321332133213321072e+02,1.257125712571257026e+01,1.257125712571257026e+01,1.329795539940786731e-11
3.324032403240323674e+02,3.324032403240323674e+02,1.257605760576057641e+01,1.257605760576057641e+01,1.330855765125386348e-11
3.326732673267326277e+02,3.326732673267326277e+02,1.258085808580858256e+01,1.258085808580858256e+01,1.331915990309984996e-11
3.329432943294329448e+02,3.329432943294329448e+02,1.258565856585658516e+01,1.258565856585658516e+01,1.332976215494583806e-11
3.332133213321332050e+02,3.332133213321332050e+02,1.259045904590459131e+01,1.259045904590459131e+01,1.334036440679183100e-11
3.334833483348334653e+02,3.334833483348334653e+02,1.259525952595259390e+01,1.259525952595259390e+01,1.335096665863781910e-11
3.337533753375337255e+02,3.337533753375337255e+02,1.260006000600060005e+01,1.260006000600060005e+01,1.336156891048381204e-11
3.340234023402339858e+02,3.340234023402339858e+02,1.260486048604860621e+01,1.260486048604860621e+01,1.337217116232979853e-11
3.342934293429343029e+02,3.342934293429343029e+02,1.260966096609660880e+01,1.260966096609660880e+01,1.338277341417578985e-11
3.345634563456345631e+02,3.345634563456345631e+02,1.261446144614461495e+01,1.261446144614461495e+01,1.339337566602177957e-11
3.348334833483348234e+02,3.348334833483348234e+02,1.261926192619261933e+01,1.261926192619261933e+01,1.340397791786776766e-11
3.351035103510350837e+02,3.351035103510350837e+02,1.262406240624062370e+01,1.262406240624062370e+01,1.341458016971375576e-11
3.353735373537353439e+02,3.353735373537353439e+02,1.262886288628862985e+01,1.262886288628862985e+01,1.342518242155975032e-11
3.356435643564356610e+02,3.356435643564356610e+02,1.263366336633663245e+01,1.263366336633663245e+01,1.343578467340573842e-11
3.359135913591359213e+02,3.359135913591359213e+02,1.263846384638463682e+01,1.263846384638463682e+01,1.344638692525172974e-11
3.361836183618361815e+02,3.361836183618361815e+02,1.264326432643264297e+01,1.264326432643264297e+01,1.345698917709771946e-11
3.364536453645364418e+02,3.364536453645364418e+02,1.264806480648064557e+01,1.264806480648064557e+01,1.346759142894370594e-11
3.367236723672367020e+02,3.367236723672367020e+02,1.265286528652865172e+01,1.265286528652865172e+01,1.347819368078969888e-11
3.369936993699370191e+02,3.369936993699370191e+02,1.265766576657665787e+01,1.265766576657665787e+01,1.348879593263568698e-11
3.372637263726372794e+02,3.372637263726372794e+02,1.266246624662466225e+01,1.266246624662466225e+01,1.349939818448167507e-11
3.375337533753375396e+02,3.375337533753375396e+02,1.266726672667266662e+01,1.266726672667266662e+01,1.351000043632766802e-11
3.378037803780377999e+02,3.378037803780377999e+02,1.267206720672066922e+01,1.267206720672066922e+01,1.352060268817365450e-11
3.380738073807380601e+02,3.380738073807380601e+02,1.267686768676867537e+01,1.267686768676867537e+01,1.353120494001964744e-11
3.383438343834383772e+02,3.383438343834383772e+02,1.268166816681668152e+01,1.268166816681668152e+01,1.354180719186563554e-11
3.386138613861386375e+02,3.386138613861386375e+02,1.268646864686468589e+01,1.268646864686468589e+01,1.355240944371162687e-11
3.388838883888388978e+02,3.388838883888388978e+02,1.269126912691269204e+01,1.269126912691269204e+01,1.356301169555761819e-11
3.391539153915391580e+02,3.391539153915391580e+02,1.269606960696069642e+01,1.269606960696069642e+01,1.357361394740360629e-11
3.394239423942394183e+02,3.394239423942394183e+02,1.270087008700869902e+01,1.270087008700869902e+01,1.358421619924959116e-11
3.396939693969396217e+02,3.396939693969396217e+02,1.270567056705670517e+01,1.270567056705670517e+01,1.359481845109558248e-11
3.399639963996399388e+02,3.399639963996399388e+02,1.271047104710470954e+01,1.271047104710470954e+01,1.360542070294157381e-11
3.402340234023401990e+02,3.402340234023401990e+02,1.271527152715271392e+01,1.271527152715271392e+01,1.361602295478756676e-11
3.405040504050404593e+02,3.405040504050404593e+02,1.272007200720072007e+01,1.272007200720072007e+01,1.362662520663355162e-11
3.407740774077407195e+02,3.407740774077407195e+02,1.272487248724872266e+01,1.272487248724872266e+01,1.363722745847953972e-11
3.410441044104409798e+02,3.410441044104409798e+02,1.272967296729672881e+01,1.272967296729672881e+01,1.364782971032553105e-11
3.413141314131412969e+02,3.413141314131412969e+02,1.273447344734473496e+01,1.273447344734473496e+01,1.365843196217152237e-11
3.415841584158415571e+02,3.415841584158415571e+02,1.273927392739273934e+01,1.273927392739273934e+01,1.366903421401751047e-11
3.418541854185418174e+02,3.418541854185418174e+02,1.274407440744074371e+01,1.274407440744074371e+01,1.367963646586350180e-11
3.421242124212420777e+02,3.421242124212420777e+02,1.274887488748874631e+01,1.274887488748874631e+01,1.369023871770948990e-11
3.423942394239423379e+02,3.423942394239423379e+02,1.275367536753675246e+01,1.275367536753675246e+01,1.370084096955547961e-11
3.426642664266426550e+02,3.426642664266426550e+02,1.275847584758475861e+01,1.275847584758475861e+01,1.371144322140147417e-11
3.429342934293429153e+02,3.429342934293429153e+02,1.276327632763276299e+01,1.276327632763276299e+01,1.372204547324745903e-11
3.432043204320431755e+02,3.432043204320431755e+02,1.276807680768076914e+01,1.276807680768076914e+01,1.373264772509345359e-11
3.434743474347434358e+02,3.434743474347434358e+02,1.277287728772877351e+01,1.277287728772877351e+01,1.374324997693943846e-11
3.437443744374436960e+02,3.437443744374436960e+02,1.277767776777677611e+01,1.277767776777677611e+01,1.375385222878542655e-11
3.440144014401440131e+02,3.440144014401440131e+02,1.278247824782478226e+01,1.278247824782478226e+01,1.376445448063142273e-11
3.442844284428442734e+02,3.442844284428442734e+02,1.278727872787278663e+01,1.278727872787278663e+01,1.377505673247740759e-11
3.445544554455445336e+02,3.445544554455445336e+02,1.279207920792079101e+01,1.279207920792079101e+01,1.378565898432339569e-11
3.448244824482447939e+02,3.448244824482447939e+02,1.279687968796879716e+01,1.279687968796879716e+01,1.379626123616939025e-11
3.450945094509450541e+02,3.450945094509450541e+02,1.280168016801680331e+01,1.280168016801680331e+01,1.380686348801537835e-11
3.453645364536453712e+02,3.453645364536453712e+02,1.280648064806480946e+01,1.280648064806480946e+01,1.381746573986137129e-11
3.456345634563456315e+02,3.456345634563456315e+02,1.281128112811281028e+01,1.281128112811281028e+01,1.382806799170735939e-11
3.459045904590458917e+02,3.459045904590458917e+02,1.281608160816081465e+01,1.281608160816081465e+01,1.383867024355334587e-11
3.461746174617461520e+02,3.461746174617461520e+02,1.282088208820882080e+01,1.282088208820882080e+01,1.384927249539933881e-11
3.464446444644464123e+02,3.464446444644464123e+02,1.282568256825682695e+01,1.282568256825682695e+01,1.385987474724532691e-11
3.467146714671467294e+02,3.467146714671467294e+02,1.283048304830482955e+01,1.283048304830482955e+01,1.387047699909131500e-11
3.469846984698469896e+02,3.469846984698469896e+02,1.283528352835283570e+01,1.283528352835283570e+01,1.388107925093730956e-11
3.472547254725472499e+02,3.472547254725472499e+02,1.284008400840084008e+01,1.284008400840084008e+01,1.389168150278329766e-11
3.475247524752475101e+02,3.475247524752475101e+02,1.284488448844884623e+01,1.284488448844884623e+01,1.390228375462929060e-11
3.477947794779477704e+02,3.477947794779477704e+02,1.284968496849685060e+01,1.284968496849685060e+01,1.391288600647527547e-11
3.480648064806480875e+02,3.480648064806480875e+02,1.285448544854485320e+01,1.285448544854485320e+01,1.392348825832126357e-11
3.483348334833483477e+02,3.483348334833483477e+02,1.285928592859285935e+01,1.285928592859285935e+01,1.393409051016725812e-11
3.486048604860486080e+02,3.486048604860486080e+02,1.286408640864086372e+01,1.286408640864086372e+01,1.394469276201324622e-11
3.488748874887488682e+02,3.488748874887488682e+02,1.286888688868886810e+01,1.286888688868886810e+01,1.395529501385923432e-11
3.491449144914491285e+02,3.491449144914491285e+02,1.287368736873687425e+01,1.287368736873687425e+01,1.396589726570522565e-11
3.494149414941493887e+02,3.494149414941493887e+02,1.287848784878488040e+01,1.287848784878488040e+01,1.397649951755121374e-11
3.496849684968496490e+02,3.496849684968496490e+02,1.288328832883288655e+01,1.288328832883288655e+01,1.398710176939720346e-11
3.499549954995499093e+02,3.499549954995499093e+02,1.288808880888088737e+01,1.288808880888088737e+01,1.399770402124319478e-11
3.502250225022501695e+02,3.502250225022501695e+02,1.289288928892888997e+01,1.289288928892888997e+01,1.400830627308917965e-11
3.504950495049504298e+02,3.504950495049504298e+02,1.289768976897689612e+01,1.289768976897689612e+01,1.401890852493517421e-11
3.507650765076508037e+02,3.507650765076508037e+02,1.290249024902490227e+01,1.290249024902490227e+01,1.402951077678116554e-11
3.510351035103510640e+02,3.510351035103510640e+02,1.290729072907290664e+01,1.290729072907290664e+01,1.404011302862715363e-11
3.513051305130513242e+02,3.513051305130513242e+02,1.291209120912091279e+01,1.291209120912091279e+01,1.405071528047314658e-11
3.515751575157515845e+02,3.515751575157515845e+02,1.291689168916891717e+01,1.291689168916891717e+01,1.406131753231913144e-11
3.518451845184518447e+02,3.518451845184518447e+02,1.292169216921691977e+01,1.292169216921691977e+01,1.407191978416512600e-11
3.521152115211521618e+02,3.521152115211521618e+02,1.292649264926492592e+01,1.292649264926492592e+01,1.408252203601111571e-11
3.523852385238524221e+02,3.523852385238524221e+02,1.293129312931293029e+01,1.293129312931293029e+01,1.409312428785710219e-11
3.526552655265526255e+02,3.526552655265526255e+02,1.293609360936093644e+01,1.293609360936093644e+01,1.410372653970309352e-11
3.529252925292528857e+02,3.529252925292528857e+02,1.294089408940894081e+01,1.294089408940894081e+01,1.411432879154908162e-11
3.531953195319531460e+02,3.531953195319531460e+02,1.294569456945694341e+01,1.294569456945694341e+01,1.412493104339506648e-11
3.534653465346534063e+02,3.534653465346534063e+02,1.295049504950494956e+01,1.295049504950494956e+01,1.413553329524105943e-11
3.537353735373537233e+02,3.537353735373537233e+02,1.295529552955295394e+01,1.295529552955295394e+01,1.414613554708705076e-11
3.540054005400539836e+02,3.540054005400539836e+02,1.296009600960095831e+01,1.296009600960095831e+01,1.415673779893303562e-11
3.542754275427542439e+02,3.542754275427542439e+02,1.296489648964896446e+01,1.296489648964896446e+01,1.416734005077903018e-11
3.545454545454545041e+02,3.545454545454545041e+02,1.296969696969696706e+01,1.296969696969696706e+01,1.417794230262501828e-11
3.548154815481547644e+02,3.548154815481547644e+02,1.297449744974497321e+01,1.297449744974497321e+01,1.418854455447101122e-11
3.550855085508550815e+02,3.550855085508550815e+02,1.297929792979297936e+01,1.297929792979297936e+01,1.419914680631699932e-11
3.553555355535553417e+02,3.553555355535553417e+02,1.298409840984098373e+01,1.298409840984098373e+01,1.420974905816298741e-11
3.556255625562556020e+02,3.556255625562556020e+02,1.298889888988898988e+01,1.298889888988898988e+01,1.422035131000897874e-11
3.558955895589558622e+02,3.558955895589558622e+02,1.299369936993699071e+01,1.299369936993699071e+01,1.423095356185496684e-11
3.561656165616561225e+02,3.561656165616561225e+02,1.299849984998499686e+01,1.299849984998499686e+01,1.424155581370095494e-11
3.564356435643563827e+02,3.564356435643563827e+02,1.300330033003300301e+01,1.300330033003300301e+01,1.425215806554694949e-11
3.567056705670566430e+02,3.567056705670566430e+02,1.300810081008100738e+01,1.300810081008100738e+01,1.426276031739293436e-11
3.569756975697569032e+02,3.569756975697569032e+02,1.301290129012901353e+01,1.301290129012901353e+01,1.427336256923892730e-11
3.572457245724571635e+02,3.572457245724571635e+02,1.301770177017701791e+01,1.301770177017701791e+01,1.428396482108491378e-11
3.575157515751574238e+02,3.575157515751574238e+02,1.302250225022502406e+01,1.302250225022502406e+01,1.429456707293090350e-11
3.577857785778577977e+02,3.577857785778577977e+02,1.302730273027303021e+01,1.302730273027303021e+01,1.430516932477689967e-11
3.580558055805580580e+02,3.580558055805580580e+02,1.303210321032103103e+01,1.303210321032103103e+01,1.431577157662288615e-11
3.583258325832583182e+02,3.583258325832583182e+02,1.303690369036903540e+01,1.303690369036903540e+01,1.432637382846887425e-11
3.585958595859585785e+02,3.585958595859585785e+02,1.304170417041704155e+01,1.304170417041704155e+01,1.433697608031486719e-11
3.588658865886588387e+02,3.588658865886588387e+02,1.304650465046504770e+01,1.304650465046504770e+01,1.434757833216085529e-11
3.591359135913591558e+02,3.591359135913591558e+02,1.305130513051305385e+01,1.305130513051305385e+01,1.435818058400684985e-11
3.594059405940594161e+02,3.594059405940594161e+02,1.305610561056105645e+01,1.305610561056105645e+01,1.436878283585283471e-11
3.596759675967596763e+02,3.596759675967596763e+02,1.306090609060906083e+01,1.306090609060906083e+01,1.437938508769882604e-11
3.599459945994599366e+02,3.599459945994599366e+02,1.306570657065706520e+01,1.306570657065706520e+01,1.438998733954481575e-11
3.602160216021601968e+02,3.602160216021601968e+02,1.307050705070507135e+01,1.307050705070507135e+01,1.440058959139080547e-11
3.604860486048605139e+02,3.604860486048605139e+02,1.307530753075307395e+01,1.307530753075307395e+01,1.441119184323679356e-11
3.607560756075607742e+02,3.607560756075607742e+02,1.308010801080108010e+01,1.308010801080108010e+01,1.442179409508278651e-11
3.610261026102610344e+02,3.610261026102610344e+02,1.308490849084908447e+01,1.308490849084908447e+01,1.443239634692877460e-11
3.612961296129612947e+02,3.612961296129612947e+02,1.308970897089709062e+01,1.308970897089709062e+01,1.444299859877476593e-11
3.615661566156615550e+02,3.615661566156615550e+02,1.309450945094509500e+01,1.309450945094509500e+01,1.445360085062075403e-11
3.618361836183619289e+02,3.618361836183619289e+02,1.309930993099309759e+01,1.309930993099309759e+01,1.446420310246674374e-11
3.621062106210621891e+02,3.621062106210621891e+02,1.310411041104110375e+01,1.310411041104110375e+01,1.447480535431273830e-11
3.623762376237624494e+02,3.623762376237624494e+02,1.310891089108910812e+01,1.310891089108910812e+01,1.448540760615872640e-11
