Copper Capacitance (F),Graphene Capacitance (F),Final Capacitance (F)
4.2e-11,1.693452778258235e-11,1.2068479949349203e-11
4.2e-11,1.694513003442834e-11,1.2073863625889148e-11
4.2e-11,1.695573228627433e-11,1.20792453660917e-11
4.2e-11,1.6966334538120322e-11,1.2084625171001324e-11
4.2e-11,1.697693678996631e-11,1.209000304166174e-11
4.2e-11,1.69875390418123e-11,1.2095378979115927e-11
4.2e-11,1.6998141293658287e-11,1.2100752984406095e-11
4.2e-11,1.700874354550428e-11,1.2106125058573724e-11
4.2e-11,1.7019345797350272e-11,1.2111495202659526e-11
4.2e-11,1.702994804919626e-11,1.2116863417703477e-11
